Target,Accuracy,Precision,Recall,F1,ROC_AUC
Top10,0.8848314606741573,0.9069767441860465,0.861878453038674,0.8838526912181304,0.9524861878453038
Top5,0.898876404494382,0.8089887640449438,0.7912087912087912,0.7999999999999998,0.9535144101181838
Top3,0.9185393258426966,0.7321428571428571,0.7454545454545455,0.7387387387387387,0.9618242222893386
Victory,0.9662921348314607,0.75,0.5,0.6,0.9497041420118343
